Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestB,Chrome 62.0.3202.94,,2018-05-10 11:14:00,2018-05-10 11:14:23,22.628s,PASSED
,,,,,,
Test Cases/TestB,Chrome 62.0.3202.94,"If the user is admin role, the system will go to the admin page which consists of \u201CProducts\u201D, and \u201CTotal Transaction\u201D menus",2018-05-10 11:14:01,2018-05-10 11:14:23,22.073s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 11:14:01,2018-05-10 11:14:08,6.704s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 11:14:08,2018-05-10 11:14:16,8.209s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:14:16,2018-05-10 11:14:17,0.373s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:14:17,2018-05-10 11:14:17,0.336s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 11:14:17,2018-05-10 11:14:18,1.046s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 11:14:18,2018-05-10 11:14:20,2.439s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 11:14:20,2018-05-10 11:14:21,0.530s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 11:14:21,2018-05-10 11:14:23,1.604s,PASSED
