Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestD,Chrome 62.0.3202.94,,2018-05-10 11:27:50,2018-05-10 11:28:42,51.381s,PASSED
,,,,,,
Test Cases/TestD,Chrome 62.0.3202.94,"If the user name and password is not correct, the error message, \u201CUsername/password is incorrect\u201D is shown",2018-05-10 11:27:51,2018-05-10 11:28:11,20.145s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 11:27:52,2018-05-10 11:27:58,6.423s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 11:27:58,2018-05-10 11:28:07,8.731s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:07,2018-05-10 11:28:07,0.358s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:07,2018-05-10 11:28:07,0.252s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 11:28:07,2018-05-10 11:28:08,0.156s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 11:28:08,2018-05-10 11:28:09,1.192s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:09,2018-05-10 11:28:09,0.234s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:09,2018-05-10 11:28:09,0.136s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 11:28:09,2018-05-10 11:28:09,0.108s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 11:28:09,2018-05-10 11:28:09,0.071s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 11:28:09,2018-05-10 11:28:11,1.576s,PASSED
,,,,,,
Test Cases/TestD,Chrome 62.0.3202.94,"If the user name and password is not correct, the error message, \u201CUsername/password is incorrect\u201D is shown",2018-05-10 11:28:11,2018-05-10 11:28:26,15.195s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 11:28:11,2018-05-10 11:28:14,2.948s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 11:28:14,2018-05-10 11:28:23,8.962s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:23,2018-05-10 11:28:23,0.253s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:23,2018-05-10 11:28:23,0.179s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 11:28:23,2018-05-10 11:28:24,0.134s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 11:28:24,2018-05-10 11:28:25,1.196s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:25,2018-05-10 11:28:25,0.170s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:25,2018-05-10 11:28:25,0.095s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 11:28:25,2018-05-10 11:28:25,0.072s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 11:28:25,2018-05-10 11:28:25,0.036s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 11:28:25,2018-05-10 11:28:26,1.080s,PASSED
,,,,,,
Test Cases/TestD,Chrome 62.0.3202.94,"If the user name and password is not correct, the error message, \u201CUsername/password is incorrect\u201D is shown",2018-05-10 11:28:26,2018-05-10 11:28:42,15.437s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 11:28:26,2018-05-10 11:28:30,3.568s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 11:28:30,2018-05-10 11:28:38,8.208s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:38,2018-05-10 11:28:38,0.236s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:38,2018-05-10 11:28:38,0.233s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 11:28:38,2018-05-10 11:28:39,0.156s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 11:28:39,2018-05-10 11:28:40,1.174s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:40,2018-05-10 11:28:40,0.252s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 11:28:40,2018-05-10 11:28:40,0.187s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 11:28:40,2018-05-10 11:28:40,0.130s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 11:28:40,2018-05-10 11:28:40,0.062s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 11:28:40,2018-05-10 11:28:42,1.198s,PASSED
