Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestJ,Chrome 62.0.3202.94,,2018-05-10 01:38:33,2018-05-10 01:39:46,1m - 12.196s,PASSED
,,,,,,
Test Cases/TestJ,Chrome 62.0.3202.94,"When the user clicks logout button, the system will return to the login page",2018-05-10 01:38:34,2018-05-10 01:39:00,26.406s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 01:38:34,2018-05-10 01:38:44,9.828s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 01:38:44,2018-05-10 01:38:56,11.883s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 01:38:56,2018-05-10 01:38:57,1.327s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 01:38:57,2018-05-10 01:38:58,0.178s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 01:38:58,2018-05-10 01:38:58,0.194s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 01:38:58,2018-05-10 01:38:59,1.252s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 01:38:59,2018-05-10 01:38:59,0.102s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 01:38:59,2018-05-10 01:39:00,1.159s,PASSED
,,,,,,
Test Cases/TestJ,Chrome 62.0.3202.94,"When the user clicks logout button, the system will return to the login page",2018-05-10 01:39:00,2018-05-10 01:39:22,21.786s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 01:39:00,2018-05-10 01:39:06,5.391s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 01:39:06,2018-05-10 01:39:19,12.992s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 01:39:19,2018-05-10 01:39:19,0.294s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 01:39:19,2018-05-10 01:39:19,0.200s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 01:39:19,2018-05-10 01:39:19,0.143s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 01:39:19,2018-05-10 01:39:21,1.234s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 01:39:21,2018-05-10 01:39:21,0.118s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 01:39:21,2018-05-10 01:39:22,1.337s,PASSED
,,,,,,
Test Cases/TestJ,Chrome 62.0.3202.94,"When the user clicks logout button, the system will return to the login page",2018-05-10 01:39:22,2018-05-10 01:39:46,23.463s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 01:39:22,2018-05-10 01:39:27,4.414s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 01:39:27,2018-05-10 01:39:43,16.221s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 01:39:43,2018-05-10 01:39:43,0.209s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 01:39:43,2018-05-10 01:39:43,0.200s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 01:39:43,2018-05-10 01:39:43,0.124s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 01:39:43,2018-05-10 01:39:44,1.165s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 01:39:44,2018-05-10 01:39:45,0.073s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-10 01:39:45,2018-05-10 01:39:46,1.015s,PASSED
