Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestD,Chrome 62.0.3202.94,,2018-05-09 22:39:14,2018-05-09 22:40:06,52.104s,PASSED
,,,,,,
Test Cases/TestD,Chrome 62.0.3202.94,"If the user name and password is not correct, the error message, \u201CUsername/password is incorrect\u201D is shown",2018-05-09 22:39:14,2018-05-09 22:39:36,21.419s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-09 22:39:15,2018-05-09 22:39:24,8.714s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-09 22:39:24,2018-05-09 22:39:32,8.416s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:39:32,2018-05-09 22:39:33,0.620s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:39:33,2018-05-09 22:39:33,0.249s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 22:39:33,2018-05-09 22:39:33,0.228s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 22:39:33,2018-05-09 22:39:34,1.206s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:39:34,2018-05-09 22:39:34,0.161s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:39:34,2018-05-09 22:39:35,0.123s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 22:39:35,2018-05-09 22:39:35,0.081s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 22:39:35,2018-05-09 22:39:35,0.043s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-09 22:39:35,2018-05-09 22:39:36,1.113s,PASSED
,,,,,,
Test Cases/TestD,Chrome 62.0.3202.94,"If the user name and password is not correct, the error message, \u201CUsername/password is incorrect\u201D is shown",2018-05-09 22:39:36,2018-05-09 22:39:51,15.604s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-09 22:39:36,2018-05-09 22:39:41,4.931s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-09 22:39:41,2018-05-09 22:39:48,7.257s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:39:48,2018-05-09 22:39:48,0.253s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:39:48,2018-05-09 22:39:48,0.178s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 22:39:48,2018-05-09 22:39:49,0.148s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 22:39:49,2018-05-09 22:39:50,1.199s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:39:50,2018-05-09 22:39:50,0.139s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:39:50,2018-05-09 22:39:50,0.119s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 22:39:50,2018-05-09 22:39:50,0.085s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 22:39:50,2018-05-09 22:39:50,0.041s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-09 22:39:50,2018-05-09 22:39:51,1.186s,PASSED
,,,,,,
Test Cases/TestD,Chrome 62.0.3202.94,"If the user name and password is not correct, the error message, \u201CUsername/password is incorrect\u201D is shown",2018-05-09 22:39:51,2018-05-09 22:40:06,14.214s,PASSED
openBrowser,Chrome 62.0.3202.94,,2018-05-09 22:39:51,2018-05-09 22:39:55,3.418s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-09 22:39:55,2018-05-09 22:40:02,7.276s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:40:02,2018-05-09 22:40:02,0.259s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:40:02,2018-05-09 22:40:03,0.250s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 22:40:03,2018-05-09 22:40:03,0.150s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 22:40:03,2018-05-09 22:40:04,1.126s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:40:04,2018-05-09 22:40:04,0.136s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-09 22:40:04,2018-05-09 22:40:04,0.110s,PASSED
click,Chrome 62.0.3202.94,,2018-05-09 22:40:04,2018-05-09 22:40:04,0.082s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-09 22:40:04,2018-05-09 22:40:04,0.041s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2018-05-09 22:40:04,2018-05-09 22:40:06,1.308s,PASSED
