Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestH,Chrome 62.0.3202.94,,2018-05-10 12:03:13,2018-05-10 12:04:08,54.880s,FAILED
,,,,,,
Test Cases/TestH,Chrome 62.0.3202.94,"When the user enters the Products page, and clicked at the add to cart button, the button will be changed to already added, and the number of selected products is shown next to the Carts menu",2018-05-10 12:03:14,2018-05-10 12:04:06,52.482s,FAILED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 12:03:14,2018-05-10 12:03:22,7.277s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 12:03:22,2018-05-10 12:03:30,8.510s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 12:03:30,2018-05-10 12:03:31,0.396s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 12:03:31,2018-05-10 12:03:31,0.323s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 12:03:31,2018-05-10 12:03:31,0.227s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 12:03:31,2018-05-10 12:03:32,1.267s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 12:03:32,2018-05-10 12:03:33,0.729s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 12:03:33,2018-05-10 12:03:33,0.208s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 12:03:33,2018-05-10 12:03:33,0.058s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 12:03:33,2018-05-10 12:03:34,0.128s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 12:03:34,2018-05-10 12:03:34,0.056s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 12:03:34,2018-05-10 12:03:34,0.118s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 12:03:34,2018-05-10 12:03:34,0.040s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 12:03:34,2018-05-10 12:03:34,0.132s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 12:03:34,2018-05-10 12:03:34,0.047s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 12:03:34,2018-05-10 12:04:06,32.223s,FAILED
