Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestK,Chrome 62.0.3202.94,,2018-05-10 10:51:56,2018-05-10 10:53:00,1m - 4.056s,FAILED
,,,,,,
Test Cases/TestK,Chrome 62.0.3202.94,"If the user login to the admin page, when open the \u201CTotal Transaction\u201D menu, all the carts, which have been added must be shown with the summaries of all carts.",2018-05-10 10:51:57,2018-05-10 10:52:59,1m - 1.772s,FAILED
openBrowser,Chrome 62.0.3202.94,,2018-05-10 10:51:58,2018-05-10 10:52:12,13.074s,PASSED
navigateToUrl,Chrome 62.0.3202.94,,2018-05-10 10:52:12,2018-05-10 10:52:22,10.986s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 10:52:22,2018-05-10 10:52:24,1.348s,PASSED
setText,Chrome 62.0.3202.94,,2018-05-10 10:52:24,2018-05-10 10:52:24,0.341s,PASSED
click,Chrome 62.0.3202.94,,2018-05-10 10:52:24,2018-05-10 10:52:25,0.531s,PASSED
verifyElementClickable,Chrome 62.0.3202.94,,2018-05-10 10:52:25,2018-05-10 10:52:26,1.300s,PASSED
verifyElementText,Chrome 62.0.3202.94,,2018-05-10 10:52:26,2018-05-10 10:52:59,33.130s,FAILED
